사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
빙상남녀헬스,1999-10-09,,,,20050930.0,폐업,전라북도 전주시 완산구 중화산동2가 산 45번지,전라북도 전주시 완산구 백제대로 310  (중화산동2가),전라북도 전주시 완산구 백제대로 310  (중화산동2가),1,2005-09-30,2005,1999
동양헬스클럽,1999-03-29,,,,20080414.0,폐업,전라북도 전주시 덕진구 우아동3가 747-66번지,전라북도 전주시 덕진구 백제대로 803  (우아동3가),전라북도 전주시 덕진구 백제대로 803  (우아동3가),1,2008-04-14,2008,1999
경희헬스타운,1999-03-10,,,,20080414.0,폐업,전라북도 전주시 덕진구 인후동1가 857-3번지,전라북도 전주시 덕진구 정언신로 95  (인후동1가),전라북도 전주시 덕진구 정언신로 95  (인후동1가),1,2008-04-14,2008,1999
아이디 스포츠,2006-12-29,,,,20130131.0,폐업,전라북도 전주시 덕진구 금암동 475-6번지,전라북도 전주시 덕진구 기린대로 389  (금암동),전라북도 전주시 덕진구 기린대로 389  (금암동),1,2013-01-31,2013,2006
크라운 핏,2019-05-10,,,,20210531.0,폐업,전라북도 군산시 미룡동 895-2,"전라북도 군산시 미룡로 15, 3층 (미룡동)","전라북도 군산시 미룡로 15, 3층 (미룡동)",1,2021-05-31,2021,2019
코오롱헬스,1997-01-22,,,,20040608.0,폐업,전라북도 전주시 완산구 고사동 429-3번지,전라북도 전주시 완산구 전주객사3길 28  (고사동),전라북도 전주시 완산구 전주객사3길 28  (고사동),1,2004-06-08,2004,1997
정진헬스클럽,2002-03-28,,,,20120410.0,폐업,전라북도 정읍시 수성동 919-2번지,전라북도 정읍시 수성로 51 (수성동),전라북도 정읍시 수성로 51 (수성동),1,2012-04-10,2012,2002
우성 에프앤비 휘트니스(임실점),2019-12-24,,,,20210120.0,폐업,전라북도 임실군 임실읍 이도리 264,"전라북도 임실군 임실읍 운수로 50, 4층","전라북도 임실군 임실읍 운수로 50, 4층",1,2021-01-20,2021,2019
뉴 하와이,2021-03-04,,,,20220713.0,폐업,전라북도 임실군 오수면 대명리 710-2,전라북도 임실군 오수면 오수8길 65,전라북도 임실군 오수면 오수8길 65,1,2022-07-13,2022,2021
올림피아육체미체육관,1989-12-29,,,,20021031.0,폐업,전라북도 익산시 중앙동1가 13번지,전라북도 익산시 익산대로 150-6  (중앙동1가),전라북도 익산시 익산대로 150-6  (중앙동1가),1,2002-10-31,2002,1989
월드헬스타운,1989-10-21,,,,20080701.0,폐업,전라북도 익산시 함열읍 와리 549-9번지,,전라북도 익산시 함열읍 와리 549-9번지,1,2008-07-01,2008,1989
한양육체미도장,1989-11-16,,,,20000322.0,폐업,전라북도 익산시 남중동 537-5번지,,전라북도 익산시 남중동 537-5번지,1,2000-03-22,2000,1989
미주활기도이리지부,1990-08-25,,,,20100702.0,폐업,전라북도 익산시 동산동 1056-6번지,전라북도 익산시 서동로 130-1  (동산동),전라북도 익산시 서동로 130-1  (동산동),1,2010-07-02,2010,1990
영스타롤러스케이트장,1990-01-06,,,,20100702.0,폐업,전라북도 익산시 창인동2가 1-112번지,,전라북도 익산시 창인동2가 1-112번지,1,2010-07-02,2010,1990
화랑헬스타운,1990-01-09,,,,19961011.0,폐업,전라북도 익산시 마동 2-18번지,전라북도 익산시 선화로 344  (마동),전라북도 익산시 선화로 344  (마동),1,1996-10-11,1996,1990
진선미요가학원,1991-01-26,,,,20100705.0,폐업,전라북도 익산시 남중동 542-31번지,전라북도 익산시 동서로 247  (남중동),전라북도 익산시 동서로 247  (남중동),1,2010-07-05,2010,1991
전일육체미도장,1991-03-06,,,,19971129.0,폐업,전라북도 익산시 창인동1가 108-7번지,,전라북도 익산시 창인동1가 108-7번지,1,1997-11-29,1997,1991
한국헬스크럽,1991-08-05,,,,19990417.0,폐업,전라북도 익산시 신동 762-29번지,전라북도 익산시 무왕로 882-1  (신동),전라북도 익산시 무왕로 882-1  (신동),1,1999-04-17,1999,1991
현대헬스크럽,1991-09-06,,,,20010430.0,폐업,전라북도 익산시 모현동1가 271-1번지,전라북도 익산시 고현로7길 4  (모현동1가),전라북도 익산시 고현로7길 4  (모현동1가),1,2001-04-30,2001,1991
오성헬스,1991-11-27,,,,19970219.0,폐업,전라북도 익산시 남중동 497-3번지,전라북도 익산시 익산대로22길 16  (남중동),전라북도 익산시 익산대로22길 16  (남중동),1,1997-02-19,1997,1991
문화헬스쎈타,1991-09-06,,,,19940201.0,폐업,전라북도 익산시 남중동 533-2번지,전라북도 익산시 신동로 68  (남중동),전라북도 익산시 신동로 68  (남중동),1,1994-02-01,1994,1991
바울활기원,1992-06-10,,,,20100705.0,폐업,전라북도 익산시 영등동 544-3번지,전라북도 익산시 인북로48길 19  (영등동),전라북도 익산시 인북로48길 19  (영등동),1,2010-07-05,2010,1992
시민헬스클럽,1992-03-25,,,,19990126.0,폐업,전라북도 익산시 남중동 76-16번지,전라북도 익산시 인북로32길 4  (남중동),전라북도 익산시 인북로32길 4  (남중동),1,1999-01-26,1999,1992
백마헬스,1992-03-23,,,,19950105.0,폐업,전라북도 익산시 인화동1가 50번지,,전라북도 익산시 인화동1가 50번지,1,1995-01-05,1995,1992
충일헬스클럽,1993-02-01,,,,20010928.0,폐업,전라북도 익산시 동산동 1045-8번지,전라북도 익산시 서동로 100  (동산동),전라북도 익산시 서동로 100  (동산동),1,2001-09-28,2001,1993
