사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
월드헬스타운,1996-11-28,,,,,영업/정상,전라남도 목포시 연산동 1267-7번지,전라남도 목포시 원산로145번안길 2-1  (연산동),전라남도 목포시 원산로145번안길 2-1  (연산동),0,,,1996
광장헬스 스포츠타운,1998-02-26,,,,,영업/정상,전라남도 목포시 산정동 1044-381번지,전라남도 목포시 산정로 147  (산정동),전라남도 목포시 산정로 147  (산정동),0,,,1998
올림피아헬스클럽,1999-10-05,,,,,영업/정상,전라남도 목포시 산정동 1289-12번지,전라남도 목포시 자유로 121  (산정동),전라남도 목포시 자유로 121  (산정동),0,,,1999
호암헬스,2001-05-25,,,,,영업/정상,전라남도 목포시 산정동 325-1번지,전라남도 목포시 산정로 275 (산정동),전라남도 목포시 산정로 275 (산정동),0,,,2001
MS휘트니스,2016-06-27,,,,,영업/정상,전라남도 목포시 석현동 1168-26번지,전라남도 목포시 옥암로 177 (석현동),전라남도 목포시 옥암로 177 (석현동),0,,,2016
디비피트니스랩 하당,2017-01-18,,,,,영업/정상,전라남도 목포시 상동 980-1 4층,"전라남도 목포시 비파로43번길 37, 4층 (상동)","전라남도 목포시 비파로43번길 37, 4층 (상동)",0,,,2017
더 나인 PT,2017-03-09,,,,,영업/정상,전라남도 목포시 석현동 1168-19,"전라남도 목포시 옥암로 187, 4층 (석현동)","전라남도 목포시 옥암로 187, 4층 (석현동)",0,,,2017
제우스헬스피아,2001-12-12,,,,,영업/정상,전라남도 목포시 상동 1000번지 무성빌딩 5층,"전라남도 목포시 비파로 54 (상동,무성빌딩 5층)","전라남도 목포시 비파로 54 (상동,무성빌딩 5층)",0,,,2001
스타핏,2017-08-29,,,,,영업/정상,전라남도 목포시 석현동 1170-26번지 금성빌딩 6층 601호,"전라남도 목포시 석현로 2, 6층 601호 (석현동, 금성빌딩)","전라남도 목포시 석현로 2, 6층 601호 (석현동, 금성빌딩)",0,,,2017
BLACK FIT,2018-06-04,,,,,영업/정상,전라남도 목포시 연산동 1938-2,"전라남도 목포시 연산백련로 14, 2층 (연산동)","전라남도 목포시 연산백련로 14, 2층 (연산동)",0,,,2018
현대헬스클럽,1994-11-03,,,,,영업/정상,전라남도 여수시 국동 414번지,전라남도 여수시 신월로 668 (국동),전라남도 여수시 신월로 668 (국동),0,,,1994
도양헬스,1999-08-30,,,,,영업/정상,전라남도 고흥군 도양읍 봉암리 1616-16,전라남도 고흥군 도양읍 녹동5구길 74-0,전라남도 고흥군 도양읍 녹동5구길 74-0,0,,,1999
숀 휘트니스,2013-11-19,,,,,영업/정상,전라남도 완도군 완도읍 군내리 363-75번지,전라남도 완도군 완도읍 군내11번길 14,전라남도 완도군 완도읍 군내11번길 14,0,,,2013
J . J 헬스클럽,2003-01-16,,,,,영업/정상,전라남도 목포시 상동 983-2번지,전라남도 목포시 신흥로 12 (상동),전라남도 목포시 신흥로 12 (상동),0,,,2003
하당보석헬스,2005-12-15,,,,,영업/정상,전라남도 목포시 상동 1000-4 5.6층,"전라남도 목포시 장미로 61, 5.6층 (상동)","전라남도 목포시 장미로 61, 5.6층 (상동)",0,,,2005
FLEX GYM(플렉스짐),2006-03-06,,,,,영업/정상,전라남도 목포시 연산동 346 이조빌딩 4층,"전라남도 목포시 산정로 287 (연산동,이조빌딩 4층)","전라남도 목포시 산정로 287 (연산동,이조빌딩 4층)",0,,,2006
헤라헬스피아,2009-03-25,,,,,영업/정상,전라남도 목포시 상동 991-2번지 6층,"전라남도 목포시 신흥로 32 (상동, 대창빌딩 6층)","전라남도 목포시 신흥로 32 (상동, 대창빌딩 6층)",0,,,2009
스포타임체조교실,1994-10-06,,,,,영업/정상,전라남도 목포시 산정동 1744-3번지,전라남도 목포시 원산중앙로 32  (산정동),전라남도 목포시 원산중앙로 32  (산정동),0,,,1994
KBS비즈니스 목포스포츠월드,2004-04-29,,,,,영업/정상,전라남도 목포시 옥암동 815-1번지 목포시민문화체육센터부지내,"전라남도 목포시 부주로 312 (옥암동,목포시민문화체육센터부지내)","전라남도 목포시 부주로 312 (옥암동,목포시민문화체육센터부지내)",0,,,2004
비치스파랜드,2005-01-11,,,,,영업/정상,전라남도 목포시 연산동 1076-8번지,전라남도 목포시 청호로220번길 34  (연산동),전라남도 목포시 청호로220번길 34  (연산동),0,,,2005
건강스포츠,2003-12-11,,,,,영업/정상,전라남도 여수시 소호동 360-14번지,전라남도 여수시 소호5길 6-8 (소호동),전라남도 여수시 소호5길 6-8 (소호동),0,,,2003
THE ONE GYM (더원짐),2018-05-04,,,,,영업/정상,전라남도 여수시 학동 82-1,전라남도 여수시 거북선공원1길 5 (학동),전라남도 여수시 거북선공원1길 5 (학동),0,,,2018
한국헬스클럽,2011-07-06,,,,,영업/정상,전라남도 목포시 옥암동 959-5번지,전라남도 목포시 백년대로375번길 29-1  (옥암동),전라남도 목포시 백년대로375번길 29-1  (옥암동),0,,,2011
에스휘트니스,2012-12-27,,,,,영업/정상,전라남도 목포시 상동 979-2번지,"전라남도 목포시 부흥로 3, 2층 (상동)","전라남도 목포시 부흥로 3, 2층 (상동)",0,,,2012
대송휘트니스클럽,2013-03-19,,,,,영업/정상,전라남도 목포시 석현동 741-14번지 4층,전라남도 목포시 영산로 585 (석현동),전라남도 목포시 영산로 585 (석현동),0,,,2013
빅짐휘트니스 하당점,2013-12-24,,,,,영업/정상,전라남도 목포시 상동 860-1 포르모 아울렛4층 1402호,"전라남도 목포시 옥암로 95, 1402호 (상동, 포르모 아울렛4층)","전라남도 목포시 옥암로 95, 1402호 (상동, 포르모 아울렛4층)",0,,,2013
조아GYM,2015-02-25,,,,,영업/정상,전라남도 여수시 소라면 죽림리 1187-6번지,"전라남도 여수시 소라면 죽림로 43, 3,4층","전라남도 여수시 소라면 죽림로 43, 3,4층",0,,,2015
크로스핏 도마,2016-08-25,,,,,영업/정상,전라남도 여수시 문수동 191번지,"전라남도 여수시 문수로 22, 지하1층 (문수동)","전라남도 여수시 문수로 22, 지하1층 (문수동)",0,,,2016
Best 휘트니스 센타,2018-01-26,,,,,영업/정상,전라남도 여수시 학동 84-7번지,"전라남도 여수시 망마로 33, 3층 (학동)","전라남도 여수시 망마로 33, 3층 (학동)",0,,,2018
커브스 학동클럽,2018-03-20,,,,,영업/정상,전라남도 여수시 학동 61번지 이레타운,"전라남도 여수시 무선로 6, 이레타운 4층 401호 (학동)","전라남도 여수시 무선로 6, 이레타운 4층 401호 (학동)",0,,,2018
바디스미스,2018-07-16,,,,,영업/정상,전라남도 여수시 학동 54,"전라남도 여수시 쌍봉로 32, 상가2동 305호 (학동)","전라남도 여수시 쌍봉로 32, 상가2동 305호 (학동)",0,,,2018
골드문 짐,2017-05-19,,,,,영업/정상,,전라남도 곡성군 곡성읍 삼인동길 20,전라남도 곡성군 곡성읍 삼인동길 20,0,,,2017
다도해헬스,2010-04-07,,,,,영업/정상,전라남도 목포시 산정동 264-1번지,전라남도 목포시 양을로 136 (산정동),전라남도 목포시 양을로 136 (산정동),0,,,2010
미라클 헬스클럽,2000-03-31,,,,,영업/정상,전라남도 여수시 덕충동 1646-6번지,전라남도 여수시 충민로 176 (덕충동),전라남도 여수시 충민로 176 (덕충동),0,,,2000
헬스카페,2001-09-20,,,,,영업/정상,전라남도 여수시 충무동 499번지,전라남도 여수시 통제영1길 13 (충무동),전라남도 여수시 통제영1길 13 (충무동),0,,,2001
제이바디 휘트니스,2002-03-22,,,,,영업/정상,전라남도 여수시 봉계동 27,"전라남도 여수시 봉계대곡길 28, 2층 (봉계동)","전라남도 여수시 봉계대곡길 28, 2층 (봉계동)",0,,,2002
여천헬스타운,2003-07-22,,,,,영업/정상,전라남도 여수시 신기동 64-5,전라남도 여수시 흥국로 74 (신기동),전라남도 여수시 흥국로 74 (신기동),0,,,2003
(주)유심천레저산업(헬스),2003-12-27,,,,,영업/정상,전라남도 여수시 소라면 죽림리 117-7,전라남도 여수시 소라면 안심산길 155,전라남도 여수시 소라면 안심산길 155,0,,,2003
고궁스포츠클럽,2003-07-25,,,,,영업/정상,전라남도 여수시 둔덕동 584-9번지,"전라남도 여수시 쌍봉로 353, 2층 (둔덕동)","전라남도 여수시 쌍봉로 353, 2층 (둔덕동)",0,,,2003
훈GYM헬스,2003-03-27,,,,,영업/정상,전라남도 여수시 문수동 640-1번지 캐슬하임아파트상가 201호,"전라남도 여수시 여문2로 110, 201호 (문수동, 캐슬하임아파트상가)","전라남도 여수시 여문2로 110, 201호 (문수동, 캐슬하임아파트상가)",0,,,2003
비타민휘트니스,2011-03-03,,,,,영업/정상,전라남도 장성군 장성읍 영천리 1054-1번지 삼호센트럴타워4층,전라남도 장성군 장성읍 영천로 183 (삼호센트럴타워4층),전라남도 장성군 장성읍 영천로 183 (삼호센트럴타워4층),0,,,2011
상무헬스장,2015-10-22,,,,,영업/정상,,전라남도 장성군 삼계면 능성로 548 (상무아파트),전라남도 장성군 삼계면 능성로 548 (상무아파트),0,,,2015
진도헬스,2005-11-10,,,,,영업/정상,전라남도 진도군 진도읍 남동리 733-47번지,"전라남도 진도군 진도읍 남동1길 6-1, 3층","전라남도 진도군 진도읍 남동1길 6-1, 3층",0,,,2005
종로헬스클럽,2007-11-10,,,,,영업/정상,전라남도 진도군 진도읍 남동리 774-18번지,"전라남도 진도군 진도읍 남동1길 32, 3층","전라남도 진도군 진도읍 남동1길 32, 3층",0,,,2007
중앙헬스클럽,2009-05-04,,,,,영업/정상,전라남도 목포시 무안동 11-1번지,전라남도 목포시 영산로59번길 13  (무안동),전라남도 목포시 영산로59번길 13  (무안동),0,,,2009
랙스사우나 스포츠센타,2014-08-29,,,,,영업/정상,전라남도 여수시 안산동 736-1,전라남도 여수시 소호로 541 (안산동),전라남도 여수시 소호로 541 (안산동),0,,,2014
다도해사우나헬스,1997-06-18,,,,,영업/정상,전라남도 여수시 광무동 311,전라남도 여수시 한재로 182 (광무동),전라남도 여수시 한재로 182 (광무동),0,,,1997
명동건강사우나,2016-03-03,,,,,영업/정상,,전라남도 고흥군 고흥읍 홍교길 27 (일반목욕장),전라남도 고흥군 고흥읍 홍교길 27 (일반목욕장),0,,,2016
바디포헬스,2012-10-12,,,,,영업/정상,전라남도 화순군 화순읍 만연리 241-1 대방마트,전라남도 화순군 화순읍 광덕로 183,전라남도 화순군 화순읍 광덕로 183,0,,,2012
TM multi gym,2016-01-12,,,,,영업/정상,전라남도 화순군 화순읍 일심리 861번지 서라4차아파트  상가동 지하층 101호,"전라남도 화순군 화순읍 알메로 84, 상가동 지하층 101호 (화순4차 서라아파트)","전라남도 화순군 화순읍 알메로 84, 상가동 지하층 101호 (화순4차 서라아파트)",0,,,2016
머슬업 피트니스,2016-04-06,,,,,영업/정상,전라남도 화순군 화순읍 만연리 230번지,전라남도 화순군 화순읍 광덕로 167 (화순유창허니문맨션2차),전라남도 화순군 화순읍 광덕로 167 (화순유창허니문맨션2차),0,,,2016
