사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
커스텀짐,2021-04-09,,,,,영업/정상,제주특별자치도 제주시 노형동 2511-4,"제주특별자치도 제주시 수덕로 73, 2층 (노형동)","제주특별자치도 제주시 수덕로 73, 2층 (노형동)",0,,,2021
애니타임피트니스 제주 센트럴점,2021-04-12,,,,,영업/정상,제주특별자치도 제주시 이도이동 1996-5 마트로센트럴빌딩,"제주특별자치도 제주시 중앙로 346, 마트로센트럴빌딩 5층 (이도이동)","제주특별자치도 제주시 중앙로 346, 마트로센트럴빌딩 5층 (이도이동)",0,,,2021
브리즈크로스핏,2021-04-08,,,,,영업/정상,제주특별자치도 제주시 노형동 1288-5 노형타워,"제주특별자치도 제주시 노형로 407, 노형타워 지하 1층 (노형동)","제주특별자치도 제주시 노형로 407, 노형타워 지하 1층 (노형동)",0,,,2021
그린휘트니스,2021-03-04,,,,,영업/정상,제주특별자치도 서귀포시 표선면 표선리 505-1 GnB영어전문학원,제주특별자치도 서귀포시 표선면 표선중앙로43번길 22-3,제주특별자치도 서귀포시 표선면 표선중앙로43번길 22-3,0,,,2021
바디체인지 한라대점,2021-04-02,,,,,영업/정상,제주특별자치도 제주시 노형동 683-1 천마에코피아2차,"제주특별자치도 제주시 1100로 3213-27, 지하 1층 (노형동, 천마에코피아2차)","제주특별자치도 제주시 1100로 3213-27, 지하 1층 (노형동, 천마에코피아2차)",0,,,2021
마인드휘트니스 제주도청점,2018-10-04,,,,,영업/정상,제주특별자치도 제주시 오라삼동 2997번지,"제주특별자치도 제주시 연오로 59, 이룸프라자 102,103,104호 (오라삼동)","제주특별자치도 제주시 연오로 59, 이룸프라자 102,103,104호 (오라삼동)",0,,,2018
웨스트코스트트레이닝,2022-08-10,,,,,영업/정상,제주특별자치도 제주시 한경면 두모리 2441-2,"제주특별자치도 제주시 한경면 두신로 147, 1층","제주특별자치도 제주시 한경면 두신로 147, 1층",0,,,2022
플랜피티,2022-07-26,,,,,영업/정상,제주특별자치도 제주시 이도이동 1055-4,"제주특별자치도 제주시 고산동산5길 3-4, 201호 (이도이동)","제주특별자치도 제주시 고산동산5길 3-4, 201호 (이도이동)",0,,,2022
BEZM,2022-08-18,,,,,영업/정상,제주특별자치도 제주시 한경면 저지리 2973-1,"제주특별자치도 제주시 한경면 녹차분재로 552, 201호","제주특별자치도 제주시 한경면 녹차분재로 552, 201호",0,,,2022
아일랜드피티짐,2022-07-01,,,,,영업/정상,제주특별자치도 제주시 노형동 923-17,"제주특별자치도 제주시 원노형2길 29-11, 2층 (노형동)","제주특별자치도 제주시 원노형2길 29-11, 2층 (노형동)",0,,,2022
