사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
BBMC FITNESS,2010-11-25,,,,20201116.0,취소/말소/만료/정지/중지,충청남도 홍성군 홍성읍 오관리 366-9 대승빌딩,"충청남도 홍성군 홍성읍 홍성천길 166, 2층 (대승빌딩)","충청남도 홍성군 홍성읍 홍성천길 166, 2층 (대승빌딩)",1,2020-11-16,2020,2010
홍남헬스클럽,1990-04-13,,,,20201116.0,취소/말소/만료/정지/중지,충청남도 홍성군 홍성읍 오관리 222-1,충청남도 홍성군 홍성읍 아문길 57,충청남도 홍성군 홍성읍 아문길 57,1,2020-11-16,2020,1990
코리아헬스클럽,1999-02-22,,,,20201116.0,취소/말소/만료/정지/중지,충청남도 홍성군 홍성읍 오관리 464-13,충청남도 홍성군 홍성읍 홍성천길 464-13,충청남도 홍성군 홍성읍 홍성천길 464-13,1,2020-11-16,2020,1999
하이스타여성헬스,2001-12-19,,,,20100317.0,취소/말소/만료/정지/중지,충청남도 천안시 서북구 성환읍 매주리 45-1번지,충청남도 천안시 서북구 성환읍 천안대로 1843,충청남도 천안시 서북구 성환읍 천안대로 1843,1,2010-03-17,2010,2001
홍주헬스랜드,2000-07-11,,,,20201116.0,취소/말소/만료/정지/중지,충청남도 홍성군 홍성읍 옥암리 260-2,충청남도 홍성군 홍성읍 문화로 26,충청남도 홍성군 홍성읍 문화로 26,1,2020-11-16,2020,2000
조이랜드 헬스,2003-07-15,,,,,취소/말소/만료/정지/중지,충청남도 천안시 서북구 성정동 1489번지 리치프라자 401호,"충청남도 천안시 서북구 성정공원5로 24-10, 401호 (성정동)","충청남도 천안시 서북구 성정공원5로 24-10, 401호 (성정동)",0,,,2003
드림스포츠센터,2006-03-03,,,,20201116.0,취소/말소/만료/정지/중지,충청남도 홍성군 홍성읍 오관리 261,충청남도 홍성군 홍성읍 조양로 136,충청남도 홍성군 홍성읍 조양로 136,1,2020-11-16,2020,2006
탑 헬스,2006-10-24,,,,20201116.0,취소/말소/만료/정지/중지,충청남도 홍성군 홍성읍 오관리 499-1,충청남도 홍성군 홍성읍 문화로 79,충청남도 홍성군 홍성읍 문화로 79,1,2020-11-16,2020,2006
SKY휘트니스,2005-05-12,,,,20201116.0,취소/말소/만료/정지/중지,충청남도 홍성군 홍성읍 대교리 217-1,충청남도 홍성군 홍성읍 도청대로 84,충청남도 홍성군 홍성읍 도청대로 84,1,2020-11-16,2020,2005
Life Fitness(라이프 휘트니스),2014-04-28,,,,20180817.0,취소/말소/만료/정지/중지,충청남도 서산시 예천동 498-1번지,"충청남도 서산시 호수공원14로 36, 4층 (예천동)","충청남도 서산시 호수공원14로 36, 4층 (예천동)",1,2018-08-17,2018,2014
극동헬스클럽,1998-11-10,,,,20090716.0,취소/말소/만료/정지/중지,충청남도 부여군 부여읍 관북리 118-2번지,충청남도 부여군 부여읍 성왕로 256,충청남도 부여군 부여읍 성왕로 256,1,2009-07-16,2009,1998
해미헬스클럽,2003-01-06,,,,20150102.0,취소/말소/만료/정지/중지,충청남도 서산시 해미면 읍내리 247-4번지,충청남도 서산시 해미면 읍성마을2길 4-2,충청남도 서산시 해미면 읍성마을2길 4-2,1,2015-01-02,2015,2003
코리아헬스,2003-01-06,,,,20150102.0,취소/말소/만료/정지/중지,충청남도 서산시 동문동 232-2번지,,충청남도 서산시 동문동 232-2번지,1,2015-01-02,2015,2003
동원헬스클럽,2003-01-07,,,,20150102.0,취소/말소/만료/정지/중지,충청남도 서산시 해미면 읍내리 242-3번지,충청남도 서산시 해미면 읍성마을3길 16,충청남도 서산시 해미면 읍성마을3길 16,1,2015-01-02,2015,2003
마하나임체력단련장,2007-01-15,,,,20170717.0,취소/말소/만료/정지/중지,충청남도 서산시 석림동 634-9번지 3층,"충청남도 서산시 한마음13로 36, 3층 (석림동)","충청남도 서산시 한마음13로 36, 3층 (석림동)",1,2017-07-17,2017,2007
바디피티,2018-10-10,,,,20201027.0,취소/말소/만료/정지/중지,충청남도 계룡시 엄사면 엄사리 232-60,"충청남도 계룡시 엄사면 번영3길 63, 4층","충청남도 계룡시 엄사면 번영3길 63, 4층",1,2020-10-27,2020,2018
올미피아스포츠,2007-03-29,,,,20110520.0,취소/말소/만료/정지/중지,충청남도 공주시 신관동 608번지,충청남도 공주시 번영3로 4-7  (신관동),충청남도 공주시 번영3로 4-7  (신관동),1,2011-05-20,2011,2007
당진YMCA헬스클럽,1989-12-06,,,,20170414.0,취소/말소/만료/정지/중지,충청남도 당진시 읍내동 558-130번지,,충청남도 당진시 읍내동 558-130번지,1,2017-04-14,2017,1989
당진생활체육센타,1998-05-21,,,,20170515.0,취소/말소/만료/정지/중지,충청남도 당진시 읍내동 513-21번지,충청남도 당진시 북문길 1-5 (읍내동),충청남도 당진시 북문길 1-5 (읍내동),1,2017-05-15,2017,1998
