,사업장명,인허가일자,인허가취소일자,폐업일자,상세영업상태코드,상세영업상태명,도로명주소,지번주소
3641,오이이핏,20210503,,,13,영업중,"경기도 용인시 수지구 성복2로 17, 골드프라자1 B116호 (성복동)",경기도 용인시 수지구 성복동 33-1 골드프라자1 
3642,Fut pot training center,20200115,,,13,영업중,"경기도 용인시 기흥구 구성로39번길 3, 리딩프라자 202호 (마북동)",경기도 용인시 기흥구 마북동 331-1 리딩프라자 202호
3643,바디에 디자인을 더하다(바디디자인),20191119,,,13,영업중,"경기도 용인시 수지구 신봉1로 84, 상록신봉종합상가 510호 (신봉동)",경기도 용인시 수지구 신봉동 40-2 상록신봉종합상가 
3644,헬스카페,20181127,,,13,영업중,"경기도 용인시 수지구 만현로 103, 한길프라자 601호 (상현동)",경기도 용인시 수지구 상현동 259 한길프라자 601호
3645,PROFIT PLUS GYM,20200210,,,13,영업중,"경기도 용인시 기흥구 구갈로72번길 18, 4층 (구갈동)",경기도 용인시 기흥구 구갈동 353-3 
3646,더뺌,20221007,,,13,영업중,"경기도 용인시 기흥구 죽전로 57, 엘림프라자 302호 (보정동)",경기도 용인시 기흥구 보정동 1208-4 엘림프라자 302호 
3647,G.O.A.T. GYM,20220120,,,13,영업중,"경기도 용인시 기흥구 덕영대로2077번길 68, 3층 (영덕동)",경기도 용인시 기흥구 영덕동 127-17 3층 
3648,크롭짐,20211125,,,13,영업중,"경기도 용인시 기흥구 동백죽전대로 295, 201호 (중동)",경기도 용인시 기흥구 중동 436 201호
3649,어센틱 피티 스튜디오,20211228,,,13,영업중,"경기도 용인시 처인구 명지로60번길 8-13, 602호 (역북동)",경기도 용인시 처인구 역북동 756 602호
3650,The Bar Gym(더빠짐),20220804,,,13,영업중,"경기도 용인시 처인구 백옥대로 1385, 3층 (유방동)",경기도 용인시 처인구 유방동 345 
3651,스타팅 무브,20220804,,,13,영업중,"경기도 용인시 기흥구 구성3로28번길 14, 청덕프라자 502호 (청덕동)",경기도 용인시 기흥구 청덕동 502-8 청덕프라자 502호
3652,비전휘트니스 기흥역점,20220906,,,13,영업중,"경기도 용인시 기흥구 신구로54번길 9, 가동 3층 301호 (구갈동)",경기도 용인시 기흥구 구갈동 401-3 가동 3층 301호 
3653,더핏플러스,20220906,,,13,영업중,"경기도 용인시 수지구 고기로45번길 54, 3층 (동천동)",경기도 용인시 수지구 동천동 348-2 
3654,MM피트니스,20211112,,,13,영업중,경기도 용인시 기흥구 구성로 88 (주)시간과공간 지하1층 (언남동),경기도 용인시 기흥구 언남동 412-2 (주)시간과공간 지하1층 
3655,퍼팩트짐,20140416,,,13,영업중,"경기도 용인시 처인구 중부대로 1309, 낙원빌딩 4층 (역북동)",경기도 용인시 처인구 역북동 428-7 낙원빌딩 4층 
3656,Just One GYM,20160913,,,13,영업중,"경기도 용인시 기흥구 동백중앙로 283, 401,402,409,410호 (중동, 골드프라자)","경기도 용인시 기흥구 중동 829 401,402,409,410호 "
