,사업장명,인허가일자,인허가취소일자,폐업일자,상세영업상태코드,상세영업상태명,도로명주소,지번주소
966,위더스휘트니스,2008-02-18,,2020-01-17,3,폐업,서울특별시 동대문구 사가정로 148 주상가동 지하1호 (전농동SK아파트 138),서울특별시 동대문구 전농동 10번지 SK아파트 138 주상가동 지하1호
967,미림헬스,1989-12-30,,2003-04-07,3,폐업,서울특별시 동대문구 무학로 104  (용두동),서울특별시 동대문구 용두동 127-16번지 
968,코리아짐,2007-09-03,,2010-11-19,3,폐업,서울특별시 동대문구 장한로 147  (장안동201호~204호),서울특별시 동대문구 장안동 306-3번지 201호~204호 
969,용운환타지아,2007-12-28,,2012-11-06,3,폐업,서울특별시 동대문구 왕산로 68  (용두동),서울특별시 동대문구 용두동 119-1번지 
970,한양헬스,2002-11-22,,2014-06-02,3,폐업,서울특별시 동대문구 홍릉로 23  (청량리동(4층)),서울특별시 동대문구 청량리동 705-2번지 (4층) 
971,스포애니 신설동역점,2019-01-21,,,13,영업중,서울특별시 동대문구 천호대로 3 (신설동),서울특별시 동대문구 신설동 101-5번지 지하1층 
972,머슬아카데미 GYM,2019-03-26,,,13,영업중,서울특별시 동대문구 약령시로21길 30 상가동 지하 1호 (청량리동 현대아파트),서울특별시 동대문구 청량리동 234-2번지 현대아파트 상가동 지하1호
973,상승짐,2019-06-04,,,13,영업중,서울특별시 동대문구 장한로 98 케이타워 지하1층 (장안동),서울특별시 동대문구 장안동 365-9 케이타워 
974,머슬랭PT,2019-06-05,,,13,영업중,서울특별시 동대문구 전농로 77 3층 (답십리동),서울특별시 동대문구 답십리동 250-1 3층 
975,JO. P.T. GYM,2019-09-26,,,13,영업중,서울특별시 동대문구 답십리로 272 2층 2호 (장안동),서울특별시 동대문구 장안동 370-3 
976,HATTE PT STUDIO,2019-08-12,,,13,영업중,서울특별시 동대문구 회기로 148-5 지하1층 (회기동),서울특별시 동대문구 회기동 60-22번지 
977,휴맥스 짐,2019-06-28,,,13,영업중,서울특별시 동대문구 한천로10길 32 (장안동),서울특별시 동대문구 장안동 216-32번지 
978,어메이징휘트니스,2019-10-28,,,13,영업중,서울특별시 동대문구 사가정로 122 전농동하우스토리 2층 (전농동),서울특별시 동대문구 전농동 32-4번지 전농동하우스토리 
979,직선 퍼스널트레이닝(장안점),2019-11-12,,,13,영업중,서울특별시 동대문구 장한로 129 지층 (장안동),서울특별시 동대문구 장안동 369-2번지 
980,제프짐,2020-01-07,,,13,영업중,서울특별시 동대문구 왕산로 225 미주상가 A동 2층 6-2호 (청량리동),서울특별시 동대문구 청량리동 235-4번지 미주상가 
981,에이치짐투,2019-12-06,,,13,영업중,서울특별시 동대문구 망우로 60 4층 (휘경동),서울특별시 동대문구 휘경동 278 
982,장안휘트니스센터,2019-11-20,,,13,영업중,서울특별시 동대문구 답십리로 252 4층 (장안동),서울특별시 동대문구 장안동 143-40 
983,나봄PT&필라테스,2022-03-04,,,13,영업중,서울특별시 동대문구 경희대로4길 18 지하1층 (회기동),서울특별시 동대문구 회기동 13-1 
984,대림헬스타운,1999-12-21,,2022-07-06,3,폐업,서울특별시 영등포구 디지털로 396-1 (대림동 광윤빌딩),서울특별시 영등포구 대림동 863-10
985,체크핏,2022-02-07,,,13,영업중,서울특별시 동대문구 사가정로25길 22-4 3층 (장안동),서울특별시 동대문구 장안동 93-5 
986,하나더 짐,2020-01-16,,,13,영업중,서울특별시 동대문구 사가정로 148 138동 지하1층 112~116 118 119호 (전농동 전농 SK아파트),서울특별시 동대문구 전농동 10 전농 SK아파트 
987,주식회사 엠휘트니스4,2022-01-07,,,13,영업중,서울특별시 동대문구 이문로 136 1층 (이문동 이문동 웰츠타워),서울특별시 동대문구 이문동 292-10 이문동 웰츠타워 
988,fitpoint gym,2021-12-15,,,13,영업중,서울특별시 동대문구 답십리로 140 세기프라자 5층 503호 (답십리동),서울특별시 동대문구 답십리동 1003-2 세기프라자 
989,원오원짐,2021-12-31,,,13,영업중,서울특별시 동대문구 한천로11길 16 A빌딩 3층 (답십리동),서울특별시 동대문구 답십리동 16-4 A빌딩 
990,조인성퍼스널트레이닝 운동과학센터(회기점),2022-01-24,,,13,영업중,서울특별시 동대문구 이문로 22 2층 (휘경동),서울특별시 동대문구 휘경동 330 
991,루아짐,2022-01-24,,,13,영업중,서울특별시 동대문구 답십리로 309 2층 (장안동),서울특별시 동대문구 장안동 331-4 
992,밤 피티 앤 필라테스,2020-06-08,,,13,영업중,서울특별시 동대문구 회기로23길 8 지하1층 (회기동),서울특별시 동대문구 회기동 45-115번지 
993,브이엠휘트니스,2020-05-18,,,13,영업중,서울특별시 동대문구 왕산로 122 3층 (용두동),서울특별시 동대문구 용두동 788 한방천하 용두동 포스빌 
994,빛나짐,2020-05-04,,,13,영업중,서울특별시 동대문구 천호대로83길 92 2층 (장안동),서울특별시 동대문구 장안동 429-5번지 
995,HEY HONEY WORKOUT!,2021-10-18,,,13,영업중,서울특별시 동대문구 장한로 14 지하 2층 (장안동),서울특별시 동대문구 장안동 433-6 혜성클리닉 
