사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
진스스포츠아카데미,2022-03-17,,,,,영업/정상,경상남도 김해시 삼정동 599-15,"경상남도 김해시 김해대로2453번길 19-1, 1층 (삼정동)","경상남도 김해시 김해대로2453번길 19-1, 1층 (삼정동)",0,,,2022
훈스짐 양산동면점,2022-03-18,,,,,영업/정상,경상남도 양산시 동면 석산리 1461-5,"경상남도 양산시 동면 금오11길 30, 102호","경상남도 양산시 동면 금오11길 30, 102호",0,,,2022
어썸유 휘트니스 내외점,2022-03-18,,,,,영업/정상,경상남도 김해시 내동 1118-2,"경상남도 김해시 내외중앙로 59, 8층 (내동)","경상남도 김해시 내외중앙로 59, 8층 (내동)",0,,,2022
다짐,2022-02-16,,,,,영업/정상,경상남도 거창군 거창읍 대평리 936-3 대평마을회관,"경상남도 거창군 거창읍 대평6길 10, 대평마을회관 3층","경상남도 거창군 거창읍 대평6길 10, 대평마을회관 3층",0,,,2022
피티박스 덕계점,2022-02-28,,,,,영업/정상,경상남도 양산시 덕계동 745,"경상남도 양산시 덕계로 61, 6층 603호 (덕계동)","경상남도 양산시 덕계로 61, 6층 603호 (덕계동)",0,,,2022
리버스핏,2022-03-02,,,,,영업/정상,경상남도 창원시 성산구 용호동 73-53 강진빌딩 3층,"경상남도 창원시 성산구 원이대로589번길 12, 강진빌딩 3층 (용호동)","경상남도 창원시 성산구 원이대로589번길 12, 강진빌딩 3층 (용호동)",0,,,2022
유즈핏(UZFIT) 창원점,2022-03-02,,,,,영업/정상,경상남도 창원시 의창구 사림동 165-14,"경상남도 창원시 의창구 용동로 85, 1동 4층 405호 (사림동)","경상남도 창원시 의창구 용동로 85, 1동 4층 405호 (사림동)",0,,,2022
팀애플휘트니스 오죽광장점,2022-02-14,,,,,영업/정상,경상남도 진주시 봉곡동 489-1,"경상남도 진주시 진주대로 1226, 2층 (봉곡동)","경상남도 진주시 진주대로 1226, 2층 (봉곡동)",0,,,2022
머슬팩토리24 보건대점,2022-02-14,,,,,영업/정상,경상남도 진주시 상봉동 1049-5,"경상남도 진주시 창렬로 140, 2층 (상봉동)","경상남도 진주시 창렬로 140, 2층 (상봉동)",0,,,2022
머슬팩토리24 호탄점,2022-03-15,,,,,영업/정상,경상남도 진주시 가좌동 694-2,"경상남도 진주시 가호로 12, 3층 (가좌동)","경상남도 진주시 가호로 12, 3층 (가좌동)",0,,,2022
어썸유 휘트니스,2022-03-15,,,,,영업/정상,경상남도 김해시 주촌면 천곡리 1523-4,"경상남도 김해시 주촌면 천곡로 6, 601호","경상남도 김해시 주촌면 천곡로 6, 601호",0,,,2022
우리헬스,2022-03-11,,,,,영업/정상,경상남도 진주시 초전동 803-5,"경상남도 진주시 대신로457번길 12-3, 4층 (초전동)","경상남도 진주시 대신로457번길 12-3, 4층 (초전동)",0,,,2022
라움,2022-03-28,,,,,영업/정상,경상남도 양산시 명동 674,경상남도 양산시 신명동1길 7-23 (명동),경상남도 양산시 신명동1길 7-23 (명동),0,,,2022
더 패밀리파크 휘트니스,2020-02-19,,,,,영업/정상,경상남도 양산시 물금읍 가촌리 1294-2 4층,"경상남도 양산시 물금읍 증산역로 167, G.T프라자 1동 4층","경상남도 양산시 물금읍 증산역로 167, G.T프라자 1동 4층",0,,,2020
MS GYM,2020-03-16,,,,,영업/정상,경상남도 함안군 가야읍 말산리 527-4번지 홍성빌딩,"경상남도 함안군 가야읍 가야로 60, 홍성빌딩 2층","경상남도 함안군 가야읍 가야로 60, 홍성빌딩 2층",0,,,2020
리:핏 재활운동 센터,2020-02-10,,,,,영업/정상,경상남도 통영시 광도면 죽림리 1577-4번지 동성프라자,"경상남도 통영시 광도면 죽림1로 17-51, 동성프라자 501호","경상남도 통영시 광도면 죽림1로 17-51, 동성프라자 501호",0,,,2020
팀애플 초전,2020-01-13,,,,,영업/정상,경상남도 진주시 초전동 925-1번지,"경상남도 진주시 대신로475번길 16-17, 5층 (초전동)","경상남도 진주시 대신로475번길 16-17, 5층 (초전동)",0,,,2020
머슬팩토리진주,2020-01-23,,,,,영업/정상,경상남도 진주시 충무공동 287-5,"경상남도 진주시 에나로 142, 솔레어빌딩 9층 (충무공동)","경상남도 진주시 에나로 142, 솔레어빌딩 9층 (충무공동)",0,,,2020
팀애플휘트니스 평거,2020-01-23,,,,,영업/정상,경상남도 진주시 평거동 903번지,"경상남도 진주시 순환로 539, 7층 (평거동)","경상남도 진주시 순환로 539, 7층 (평거동)",0,,,2020
