사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
선경헬스클럽,2003-02-26,,,,20071008.0,폐업,부산광역시 북구 덕천동 5990-1번지,,부산광역시 북구 덕천동 5990-1번지,1,2007-10-08,2007,2003
거림휘트니스,2003-03-05,,,,20060116.0,폐업,부산광역시 북구 화명동 958-3번지,부산광역시 북구 화명신도시로 8  (화명동),부산광역시 북구 화명신도시로 8  (화명동),1,2006-01-16,2006,2003
삼원헬스센타,2003-03-27,,,,20071228.0,폐업,부산광역시 북구 덕천동 382-8번지,부산광역시 북구 만덕대로 33  (덕천동),부산광역시 북구 만덕대로 33  (덕천동),1,2007-12-28,2007,2003
화명스포티아,2003-06-03,,,,20161111.0,폐업,부산광역시 북구 화명동 2268-2번지,부산광역시 북구 금곡대로303번길 38  (화명동),부산광역시 북구 금곡대로303번길 38  (화명동),1,2016-11-11,2016,2003
비타민휘트니스,2003-04-24,,,,20221031.0,폐업,부산광역시 북구 덕천동 386-10 세광빌딩 6층,"부산광역시 북구 만덕대로 72  (덕천동,세광빌딩 6층)","부산광역시 북구 만덕대로 72  (덕천동,세광빌딩 6층)",1,2022-10-31,2022,2003
KOREA SPORTS,2003-06-26,,,,20181129.0,폐업,부산광역시 북구 만덕동 830-10번지 (3~4층),"부산광역시 북구 만덕1로 11 (만덕동,(3~4층))","부산광역시 북구 만덕1로 11 (만덕동,(3~4층))",1,2018-11-29,2018,2003
전명배,2004-05-14,,,,,폐업,부산광역시 북구 금곡동 812-6번지,부산광역시 북구 금곡대로550번길 30  (금곡동),부산광역시 북구 금곡대로550번길 30  (금곡동),0,,,2004
아쿠아,2005-01-07,,,,20101222.0,폐업,부산광역시 북구 화명동 1150번지,,부산광역시 북구 화명동 1150번지,1,2010-12-22,2010,2005
M&J스포츠센터,2006-06-27,,,,20101215.0,폐업,부산광역시 부산진구 가야동 48-1번지 4층,"부산광역시 부산진구 가야대로 643-1  (가야동,4층)","부산광역시 부산진구 가야대로 643-1  (가야동,4층)",1,2010-12-15,2010,2006
라이프헬스,1996-03-15,,,,20170426.0,폐업,부산광역시 수영구 망미동 962-7번지 외1  3층(836-1번지),"부산광역시 수영구 연수로249번길 7 (망미동,외1  3층(836-1번지))","부산광역시 수영구 연수로249번길 7 (망미동,외1  3층(836-1번지))",1,2017-04-26,2017,1996
