,사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,도로명전체주소
200,두정24시휘트니스클럽,20091124,,,,,영업/정상,"충청남도 천안시 서북구 봉정로 395, 2층 (두정동, 두정메디컬상가)"
201,운동맛짐,20091208,,,,,영업/정상,"충청남도 천안시 동남구 터미널1길 20, 3층, 4층 (신부동)"
202,연세휘트니스,20100209,,,,,영업/정상,"충청남도 천안시 서북구 쌍용대로 292, 4층 (성정동)"
203,서울스포렉스,20070116,,,,,영업/정상,"충청남도 홍성군 홍성읍 의사로52번길 15-3, 2층"
204,코리아헬스클럽,19900228,,,,,영업/정상,"충청남도 천안시 동남구 신부10길 12 (신부동, 코리아헬스)"
205,람보짐,20140528,,,,,영업/정상,"충청남도 천안시 동남구 문암로 249, 1,2층 (안서동)"
206,천안종합운동장 헬스클럽,20040209,,,,,영업/정상,충청남도 천안시 서북구 번영로 208 (백석동)
207,초콜렛 휘트니스(무단폐업),20101102,,,,,영업/정상,서울특별시 광진구 광나루로 566 (구의동)
208,웰플러스,20101119,,,,,영업/정상,"서울특별시 광진구 자양로5길 33 (자양동, 와이엠프라젠스파)"
209,코엑스짐 중곡점,20101124,,,,,영업/정상,"서울특별시 광진구 용마산로 44, 5층 (중곡동, 삼경빌딩)"
210,바디 퍼포먼스 짐,20111202,,,,,영업/정상,서울특별시 광진구 구의강변로 86 (구의동)
211,초콜릿 휘트니스,20111205,,,,,영업/정상,"서울특별시 광진구 능동로 373, 3층 (중곡동)"
212,골드헬스,20021017,,,,,영업/정상,서울특별시 금천구 시흥대로50길 12-6  (시흥동)
213,그린헬스,20030616,,,,,영업/정상,서울특별시 금천구 가산로 85 (독산동)
214,슬림한 바디,20131205,,,,,영업/정상,"서울특별시 금천구 시흥대로 362, 지하층 101호 (독산동, 림스빌딩)"
215,건강을담다 season2,20141105,,,,,영업/정상,"서울특별시 금천구 서부샛길 606, 214-1호 (가산동, 디폴리스)"
216,슬림한바디 시흥점,20150421,,,,,영업/정상,"서울특별시 금천구 시흥대로 172, 3층 (시흥동, 서우빌딩)"
217,벽계수 스파,20150615,,,,,영업/정상,"서울특별시 금천구 디지털로12길 15, B층 201호 (가산동, 비즈트위트바이올렛5차)"
218,삼성남녀헬스센타,19951016,,,,,영업/정상,서울특별시 광진구 천호대로 527  (중곡동)
219,영광헬스피아,19960326,,,,,영업/정상,서울특별시 광진구 자양로 52  (자양동)
220,역사헬스,19960402,,,,,영업/정상,서울특별시 광진구 동일로 222  (군자동)
221,멜론짐,19960410,,,,,영업/정상,서울특별시 광진구 구의로 39  (구의동)
222,파워헬스,19960826,,,,,영업/정상,서울특별시 광진구 면목로11길 10  (중곡동)
223,스포플렉스(가산점),20160318,,,,,영업/정상,"서울특별시 금천구 가산디지털1로 131, B동 2층 217호 (가산동, BYC HIGHCITY)"
224,세븐짐 휘트니스,20120327,,,,,영업/정상,서울특별시 광진구 능동로7길 50 (자양동)
225,바디퍼포먼스 짐,20120425,,,,,영업/정상,"서울특별시 광진구 천호대로 548, 지하1층 (군자동)"
226,아크로짐 구의점,20121210,,,,,영업/정상,"서울특별시 광진구 광나루로 604, 지하1층 (구의동, 진넥스 베르디엠)"
227,비터스윗코리아,20131001,,,,,영업/정상,"서울특별시 광진구 구의강변로 106, 101동 지하1층 114(113호일부포함)호 (구의동, 삼성쉐르빌)"
228,제이 퍼스널 트레이닝 스튜디오,20131008,,,,,영업/정상,"서울특별시 광진구 아차산로 477, 지하1층 (구의동)"
229,역발산센터,19930707,,,,,영업/정상,서울특별시 광진구 능동로13길 39  (화양동)
230,휘트니스피플우먼 구의점,19940801,,,,,영업/정상,"서울특별시 광진구 아차산로 380, 5층 (자양동, 세화빌딩)"
231,광운헬스,19941201,,,,,영업/정상,서울특별시 광진구 뚝섬로56길 59  (자양동)
232,주식회사 헬스보이컴퍼니,20180117,,,,,영업/정상,"서울특별시 광진구 아차산로 272, 더샵스타시티 지하1층 (자양동)"
